1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,
0,0,4.55868,2.34094,5.67967,3.80725,2.04602,2.05006,1.59659,1.91767,1.30838,2.83626,2.21616,2.21684,2.19626,2.16237,1.59024,1.69648,1.93977,1.82187,1.51112,2.31056,2.05276,1.67271,1.68324,2.13097,2.0143,1.67962,2.16804,2.25577,1.73788,1.86206,1.80391,2.03225,1.96466,2.0159,1.92863,1.90926,2.06458,2.14641,1.86571,1.97805,1.75819,1.9224,2.05567,2.18943,2.00281,1.97056,2.01287,1.96772,
0,0.420701,1.58642,2.15367,5.05206,17.6637,11.6214,8.23201,5.88024,6.1129,6.27343,5.58655,4.52281,3.83924,3.71497,3.62221,3.45569,3.44424,3.0004,2.82163,2.6409,2.57447,2.44449,2.42156,2.52833,2.92386,2.45662,2.34719,2.31106,2.2007,2.11898,2.08766,2.02945,1.99613,1.96849,1.97503,1.96174,1.98083,1.8977,1.87492,1.89697,1.88856,1.87698,1.87492,1.8566,1.85753,1.90855,1.87436,1.88638,1.89492,
0,0.470195,1.65936,1.23602,9.34589,31.9714,24.1021,15.9761,12.7424,12.8037,11.3667,10.1403,8.94812,7.80326,7.24628,6.74948,6.31409,5.50113,4.81839,4.66962,4.16191,3.85165,3.65744,3.36852,3.14901,3.31863,2.7591,2.56264,2.44121,2.30128,2.1268,1.94853,1.89334,1.80572,1.68772,1.6151,1.51894,1.47428,1.42955,1.39905,1.34222,1.30886,1.28259,1.26247,1.23296,1.22909,1.19581,1.17699,1.16798,1.13279,
0,0.197977,0.17323,0.66951,8.64729,40.8918,22.9659,16.547,16.6796,16.3584,14.4121,12.2138,10.8751,9.8247,9.17459,7.98107,7.21459,6.27492,5.81813,5.49675,4.96446,4.80735,4.12946,3.99181,3.86559,3.85208,3.36479,3.08248,2.97611,2.72172,2.57064,2.47945,2.34749,2.23295,2.15681,2.04728,1.97661,1.8666,1.86194,1.76161,1.78141,1.73884,1.66942,1.64286,1.57998,1.57494,1.55797,1.56644,1.52136,1.49898,
0,1.2621,1.40407,2.98236,10.8595,44.2859,28.4493,18.2414,16.1511,17.2904,13.8008,11.5309,10.632,9.8475,8.38833,8.00149,6.79074,6.32694,5.84006,5.3182,4.78807,4.17825,4.11053,4.05318,3.62907,3.74251,3.16064,3.00553,2.81937,2.78972,2.54817,2.45914,2.26172,2.16936,2.08623,2.05008,1.88178,1.88098,1.77663,1.72334,1.70727,1.64691,1.64928,1.61802,1.57895,1.56763,1.52539,1.5905,1.56219,1.52082,
13.6852,3.48934,1.54995,1.09556,9.70939,44.2993,23.6397,14.7881,13.6532,12.2386,10.3127,9.37536,7.29782,6.84147,5.91205,5.51188,5.4208,4.65214,4.15161,3.92143,3.81641,3.46772,3.10206,2.93111,2.90326,3.04737,2.6537,2.62929,2.4147,2.21152,2.16199,2.19694,2.08947,2.00694,1.92231,1.8867,1.78344,1.74527,1.73845,1.70717,1.69586,1.64278,1.59545,1.55913,1.5458,1.54328,1.49386,1.47377,1.50342,1.4719,
37.9373,1.58382,1.84171,2.61718,21.6481,60.8303,35.0238,22.933,19.6947,19.6447,15.7508,14.4571,12.3196,10.3491,8.76334,8.25929,7.17748,6.28359,5.43844,4.92361,4.74617,4.23882,3.81767,3.48822,3.35302,3.96529,3.03058,2.82573,2.77907,2.41142,2.19141,2.14917,2.00983,1.83551,1.74336,1.65766,1.58234,1.46866,1.35471,1.36378,1.3173,1.16007,1.1638,1.13379,1.05256,1.01537,0.956222,0.940237,0.876606,0.880784,
9.00795,6.55799,3.41901,3.20709,18.422,54.1429,31.3396,18.9589,17.2511,16.4447,13.7087,11.0562,9.11137,8.36919,6.58219,5.88237,5.58004,4.66703,4.03641,3.70645,3.673,3.44374,3.18976,3.04632,2.95693,3.57044,2.95362,2.87757,2.75604,2.49349,2.31629,2.22755,2.10806,2.0943,1.93604,1.89944,1.82661,1.77118,1.71013,1.70329,1.65031,1.56544,1.59474,1.59321,1.59563,1.53505,1.50716,1.53381,1.52703,1.54363,
0,1.18786,0.920854,1.87276,10.2092,51.238,44.5242,28.257,20.9057,19.6421,20.2836,19.0274,16.0856,13.7213,11.6286,10.2501,9.4388,8.08884,7.45428,6.99402,6.13173,5.53224,4.86606,4.84594,4.49503,4.1371,3.57493,3.48742,3.17941,2.93263,2.74859,2.46386,2.38089,2.17836,2.0677,1.98676,1.94757,1.7888,1.67348,1.64759,1.5779,1.52202,1.48101,1.42642,1.39348,1.32961,1.29366,1.25082,1.22893,1.22823,
0,0,1.13967,2.82786,22.3211,77.9097,49.5765,29.7443,27.9092,26.517,22.2483,20.4573,17.6022,15.4156,13.2113,10.7917,9.95679,8.65527,7.38951,6.58289,5.92224,5.28732,4.79638,4.30012,4.05133,4.21576,3.6181,3.27778,2.99374,2.87451,2.71923,2.44442,2.32994,2.14358,1.93764,1.8182,1.65455,1.61811,1.55089,1.46215,1.44082,1.35285,1.29953,1.27977,1.25127,1.22262,1.15242,1.16393,1.13826,1.08745,
